ID,Genus,Species,Date,Capture time,Plant,Place,Sex,IT (mm),Age.signals,Observer,Correct.cue,First.position,PER.sugar1,PER.water1,Success1,Water.exploring1,PER.sugar2,PER.water2,Success2,Water.exploring2,PER.sugar3,PER.water3,Success3,Water.exploring3,PER.sugar4,PER.water4,Success4,Water.exploring4,PER.sugar5,PER.water5,Success5,Water.exploring5,PER.sugar6,PER.water6,Success6,Water.exploring6,PER.sugar7,PER.water7,Success7,Water.exploring7,PER.sugar.test,PER.water.test,Success.test,Water.exploring.test,Notes,Experimental tube,Brain.weight
D53,Andrena,Andrena angustior,27/03/18,12:00,,Alamillo,Female,1.868,No,Cristina,Blue,Left,NA,NA,NA,NA,7,68,Yes,Yes,No,132,No,Yes,56,42,No,Yes,83,108,Yes,Yes,11,30,Yes,Yes,35,128,Yes,Yes,20,40,Yes,Yes,,2.5,0.433
D40,Andrena,Andrena angustior,27/03/18,12:00,,Alamillo,Female,1.755,No,Patrick,Blue,Right,10,No,Yes,No,11,14,Yes,Yes,14,42,Yes,Yes,NA,NA,NA,NA,10,20,Yes,Yes,90,109,Yes,Yes,11,45,Yes,Yes,NA,NA,NA,NA,,2.5,0.352
D43,Lasioglossum,Lasioglossum malachurum,27/03/18,12:00,,Alamillo,Female,1.718,No,Patrick,Blue,Right,20,65,Yes,Yes,28,11,No,Yes,55,19,No,Yes,29,12,Yes,Yes,19,52,Yes,Yes,23,14,No,Yes,50,18,No,Yes,12,24,Yes,Yes,,2.5,NA
D47,Lasioglossum,Lasioglossum malachurum,27/03/18,12:00,,Alamillo,Female,1.641,No,Cristina,Blue,Left,17,37,Yes,Yes,119,18,No,Yes,68,24,No,Yes,57,9,No,Yes,76,41,No,Yes,2,20,Yes,Yes,122,100,No,Yes,3,70,Yes,Yes,,2.5,0.430
D10,Andrena,Andrena sp.,16/03/18,12:45,Colza,Alamillo,Female,,No,Cristina,Yellow,Left,NA,NA,NA,NA,NA,NA,NA,NA,15,40,Yes,Yes,82,112,Yes,Yes,15,8,No,Yes,176,223,Yes,Yes,112,126,Yes,Yes,30,20,No,Yes,,2.0,NA
D13,Andrena,Andrena pilipes,16/03/18,12:45,Colza,Alamillo,,2.809,No,Cristina,Blue,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,2.5,0.806
D44,Andrena,Andrena pilipes,27/03/18,12:00,,Alamillo,Female,2.928,No,Patrick,Blue,Right,78,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,No,Yes,No,NA,NA,NA,NA,,2.5,1.532
D45,Andrena,Andrena pilipes,27/03/18,12:00,,Alamillo,Female,2.740,No,Patrick,Blue,Right,NA,NA,NA,NA,87,117,Yes,Yes,11,65,Yes,Yes,23,11,No,Yes,40,20,No,Yes,20,44,Yes,Yes,20,38,Yes,Yes,9,34,Yes,Yes,,3.0,1.220
D51,Eucera,Eucera rufa,27/03/18,12:00,,Alamillo,Female,3.816,No,Cristina,Blue,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,3.0,2.139
D8,Andrena,Andrena sp.,16/03/18,12:45,Colza,Alamillo,Female,,No,Cristina,Yellow,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,Refuses to eat,,NA
