"","Species","Reaction.time"
"9","Bombus pratorum",3
"7","Apis mellifera",4
"10","Bombus terrestris",4
"6","Andrena sp.",6
"8","Bombus pascuorum",7
"14","Lasioglossum malachurum",7
"18","Rhodanthidium sticticum",7
"1","Andrena angustior",10
"5","Andrena pilipes",11
"3","Andrena flavipes",18
"4","Andrena hispania",22
"13","Lasioglossum immunitum",29
"12","Flavipanurgus venustus",31
"19","Xylocopa cantabrita",47
"2","Andrena cinerea",53
"17","Psithyrus vestalis",53
"16","Panurgus dargius",60
"15","Lasioglossum sp.",138
"11","Eucera sp.",141
"20","Eucera rufa",NA
"21","Eucera notata",NA
"22","Anthopora plumipes",NA
"23","Anthopora dispar",NA
"24","Xylocopa violacea",NA
"25","Anthophora retusa",NA
