Ferrans phylogeny;Bees without phylogeny;genbank
Andrena flavipes;Andrena angustior;https://www.ncbi.nlm.nih.gov/nuccore/KT074003.1
Andrena hispania;Andrena cinerea;No
Andrena sp.;Andrena labialis;https://www.ncbi.nlm.nih.gov/nuccore/KJ836447.1
Anthophora retusa;Andrena pilipes;https://www.ncbi.nlm.nih.gov/nuccore/KJ839229.1
Anthopora plumipes;Andrena rhyssonota;No
Apis mellifera;Lasioglossum malachurum;https://www.ncbi.nlm.nih.gov/nuccore/KC798359.1
Bombus pascuorum;Panurgus dargius;No
Bombus pratorum;Psithyrus vestalis;https://www.ncbi.nlm.nih.gov/nuccore/AY181194.1
Bombus terrestris;;
Eucera elongatula;;
Eucera sp.;;
Flavipanurgus venustus;;
Lasioglossum immunitum;;
Lasioglossum sp.;;
Megachile willughbiella;;
Osmia caerulescens;;
Osmia latreillei;;
Panurgus sp.;;
Rhodanthidium sticticum;;
Xylocopa cantabrita;;
Xylocopa violacea;;
